Source,Target,Value
"""Reynolds, Emma""","""Department of Health""",41
"""Reynolds, Emma""","""Home Office""",3
"""Reynolds, Emma""","""Treasury""",5
"""Reynolds, Jonathan""","""Communities and Local Government""",2
"""Reynolds, Jonathan""","""Department for Business, Innovation and Skills""",11
"""Reynolds, Jonathan""","""Department for Culture, Media and Sport""",1
"""Reynolds, Jonathan""","""Department for Environment, Food and Rural Affairs""",2
"""Reynolds, Jonathan""","""Department for Transport""",25
"""Reynolds, Jonathan""","""Department for Work and Pensions""",2
"""Reynolds, Jonathan""","""Department of Energy and Climate Change""",12
"""Reynolds, Jonathan""","""Department of Health""",5
"""Reynolds, Jonathan""","""Home Office""",3
"""Reynolds, Jonathan""","""Scotland Office""",1
"""Reynolds, Jonathan""","""Treasury""",2
"""Rimmer, Marie""","""Attorney General""",4
"""Rimmer, Marie""","""Communities and Local Government""",1
"""Rimmer, Marie""","""Department for Work and Pensions""",1
"""Rimmer, Marie""","""Department of Health""",4
"""Rimmer, Marie""","""Ministry of Justice""",22
"""Rimmer, Marie""","""Treasury""",1
"""Ritchie, Margaret""","""Cabinet Office""",1
"""Ritchie, Margaret""","""Department for Business, Innovation and Skills""",2
"""Ritchie, Margaret""","""Department for Culture, Media and Sport""",4
"""Ritchie, Margaret""","""Department for Environment, Food and Rural Affairs""",14
"""Ritchie, Margaret""","""Department for International Development""",2
"""Ritchie, Margaret""","""Department for Transport""",1
"""Ritchie, Margaret""","""Department for Work and Pensions""",6
"""Ritchie, Margaret""","""Department of Energy and Climate Change""",13
"""Ritchie, Margaret""","""Department of Health""",25
"""Ritchie, Margaret""","""Foreign and Commonwealth Office""",9
"""Ritchie, Margaret""","""Home Office""",2
"""Ritchie, Margaret""","""Ministry of Defence""",11
"""Ritchie, Margaret""","""Ministry of Justice""",5
"""Ritchie, Margaret""","""Northern Ireland Office""",17
"""Ritchie, Margaret""","""Treasury""",14
"""Robertson, Laurence""","""Cabinet Office""",3
"""Robertson, Laurence""","""Communities and Local Government""",3
"""Robertson, Laurence""","""Department for Business, Innovation and Skills""",9
"""Robertson, Laurence""","""Department for Culture, Media and Sport""",4
"""Robertson, Laurence""","""Department for Education""",7
"""Robertson, Laurence""","""Department for Environment, Food and Rural Affairs""",45
"""Robertson, Laurence""","""Department for International Development""",8
"""Robertson, Laurence""","""Department for Transport""",7
"""Robertson, Laurence""","""Department for Work and Pensions""",11
"""Robertson, Laurence""","""Department of Energy and Climate Change""",7
"""Robertson, Laurence""","""Department of Health""",22
"""Robertson, Laurence""","""Foreign and Commonwealth Office""",3
"""Robertson, Laurence""","""Home Office""",10
"""Robertson, Laurence""","""Ministry of Defence""",4
"""Robertson, Laurence""","""Ministry of Justice""",3
"""Robertson, Laurence""","""Treasury""",9
"""Robinson, Gavin""","""Department for Business, Innovation and Skills""",1
"""Robinson, Gavin""","""Department for Culture, Media and Sport""",1
"""Robinson, Gavin""","""Department for Education""",1
"""Robinson, Gavin""","""Department for Environment, Food and Rural Affairs""",2
"""Robinson, Gavin""","""Department for Transport""",2
"""Robinson, Gavin""","""Department of Health""",9
"""Robinson, Gavin""","""Home Office""",9
"""Robinson, Gavin""","""Ministry of Defence""",6
"""Robinson, Gavin""","""Ministry of Justice""",2
"""Robinson, Gavin""","""Northern Ireland Office""",1
"""Robinson, Gavin""","""Treasury""",2
"""Robinson, Geoffrey""","""Department for Business, Innovation and Skills""",1
"""Robinson, Mary""","""Department for Business, Innovation and Skills""",1
"""Robinson, Mary""","""Department for Transport""",1
"""Robinson, Mary""","""Department for Work and Pensions""",1
"""Robinson, Mary""","""Department of Health""",1
"""Robinson, Mary""","""Foreign and Commonwealth Office""",1
"""Rosindell, Andrew""","""Attorney General""",2
"""Rosindell, Andrew""","""Communities and Local Government""",7
"""Rosindell, Andrew""","""Department for Business, Innovation and Skills""",12
"""Rosindell, Andrew""","""Department for Culture, Media and Sport""",10
"""Rosindell, Andrew""","""Department for Education""",10
"""Rosindell, Andrew""","""Department for Environment, Food and Rural Affairs""",10
"""Rosindell, Andrew""","""Department for International Development""",12
"""Rosindell, Andrew""","""Department for Transport""",11
"""Rosindell, Andrew""","""Department for Work and Pensions""",3
"""Rosindell, Andrew""","""Department of Energy and Climate Change""",11
"""Rosindell, Andrew""","""Department of Health""",20
"""Rosindell, Andrew""","""Foreign and Commonwealth Office""",119
"""Rosindell, Andrew""","""Home Office""",46
"""Rosindell, Andrew""","""Ministry of Defence""",43
"""Rosindell, Andrew""","""Ministry of Justice""",6
"""Rosindell, Andrew""","""Northern Ireland Office""",3
"""Rosindell, Andrew""","""Prime Minister""",1
"""Rosindell, Andrew""","""Scotland Office""",1
"""Rosindell, Andrew""","""Speaker's Committee on the Electoral Commission""",2
"""Rosindell, Andrew""","""Treasury""",33
"""Rosindell, Andrew""","""Wales Office""",1
"""Rotheram, Steve""","""Communities and Local Government""",5
"""Rotheram, Steve""","""Department for Business, Innovation and Skills""",8
"""Rotheram, Steve""","""Department for Culture, Media and Sport""",1
"""Rotheram, Steve""","""Department for Education""",3
"""Rotheram, Steve""","""Department for Transport""",1
"""Rotheram, Steve""","""Department for Work and Pensions""",5
"""Rotheram, Steve""","""Department of Health""",3
"""Rotheram, Steve""","""Home Office""",2
"""Rotheram, Steve""","""Ministry of Defence""",1
"""Rotheram, Steve""","""Ministry of Justice""",4
"""Rotheram, Steve""","""Treasury""",4
"""Rutley, David""","""Department for Business, Innovation and Skills""",1
"""Rutley, David""","""Department for Culture, Media and Sport""",1
"""Rutley, David""","""Foreign and Commonwealth Office""",1
"""Rutley, David""","""Home Office""",1
"""Rutley, David""","""Ministry of Defence""",1
"""Ryan, Joan""","""Cabinet Office""",1
"""Ryan, Joan""","""Communities and Local Government""",6
"""Ryan, Joan""","""Department for Business, Innovation and Skills""",4
"""Ryan, Joan""","""Department for Education""",13
"""Ryan, Joan""","""Department for Environment, Food and Rural Affairs""",1
"""Ryan, Joan""","""Department for International Development""",4
"""Ryan, Joan""","""Department for Transport""",7
"""Ryan, Joan""","""Department for Work and Pensions""",13
"""Ryan, Joan""","""Department of Energy and Climate Change""",2
"""Ryan, Joan""","""Department of Health""",23
"""Ryan, Joan""","""Foreign and Commonwealth Office""",24
"""Ryan, Joan""","""Foreign and Commonwealth Office; Department for International Development""",1
"""Ryan, Joan""","""Home Office""",4
"""Ryan, Joan""","""Ministry of Defence""",1
"""Ryan, Joan""","""Ministry of Justice""",1
"""Ryan, Joan""","""Treasury""",19
"""Salmond, Alex""","""Ministry of Defence""",1
"""Sandbach, Antoinette""","""Communities and Local Government""",1
"""Sandbach, Antoinette""","""Department for Business, Innovation and Skills""",1
"""Sandbach, Antoinette""","""Department for Culture, Media and Sport""",6
"""Sandbach, Antoinette""","""Department for Environment, Food and Rural Affairs""",6
"""Sandbach, Antoinette""","""Department for Transport""",6
"""Sandbach, Antoinette""","""Department for Work and Pensions""",1
"""Sandbach, Antoinette""","""Department of Energy and Climate Change""",1
"""Sandbach, Antoinette""","""Department of Health""",7
"""Sandbach, Antoinette""","""Foreign and Commonwealth Office""",1
"""Sandbach, Antoinette""","""Home Office""",2
"""Sandbach, Antoinette""","""Ministry of Justice""",4
"""Sandbach, Antoinette""","""Treasury""",2
"""Sandbach, Antoinette""","""Wales Office""",1
"""Saville-Roberts, Liz""","""Attorney General""",1
"""Saville-Roberts, Liz""","""Cabinet Office""",1
"""Saville-Roberts, Liz""","""Communities and Local Government""",2
"""Saville-Roberts, Liz""","""Department for Culture, Media and Sport""",1
"""Saville-Roberts, Liz""","""Department for Environment, Food and Rural Affairs""",1
"""Saville-Roberts, Liz""","""Department for Transport""",10
"""Saville-Roberts, Liz""","""Department of Energy and Climate Change""",7
"""Saville-Roberts, Liz""","""Home Office""",5
"""Saville-Roberts, Liz""","""Ministry of Defence""",3
"""Saville-Roberts, Liz""","""Ministry of Justice""",2
"""Saville-Roberts, Liz""","""Treasury""",2
"""Scully, Paul""","""Communities and Local Government""",4
"""Scully, Paul""","""Department for International Development""",2
"""Scully, Paul""","""Department of Health""",1
"""Scully, Paul""","""Foreign and Commonwealth Office""",3
"""Shah, Naseem""","""Department for Culture, Media and Sport""",3
"""Shannon, Jim""","""Attorney General""",1
"""Shannon, Jim""","""Cabinet Office""",6
"""Shannon, Jim""","""Cabinet Office; UK Statistics Authority""",21
"""Shannon, Jim""","""Communities and Local Government""",8
"""Shannon, Jim""","""Department for Business, Innovation and Skills""",40
"""Shannon, Jim""","""Department for Culture, Media and Sport""",28
"""Shannon, Jim""","""Department for Education""",15
"""Shannon, Jim""","""Department for Environment, Food and Rural Affairs""",90
"""Shannon, Jim""","""Department for International Development""",20
"""Shannon, Jim""","""Department for Transport""",40
"""Shannon, Jim""","""Department for Work and Pensions""",13
"""Shannon, Jim""","""Department of Energy and Climate Change""",18
"""Shannon, Jim""","""Department of Health""",375
"""Shannon, Jim""","""Foreign and Commonwealth Office""",102
"""Shannon, Jim""","""Home Office""",81
"""Shannon, Jim""","""Minister for Women and Equalities""",2
"""Shannon, Jim""","""Ministry of Defence""",88
"""Shannon, Jim""","""Ministry of Justice""",19
"""Shannon, Jim""","""Northern Ireland Office""",14
"""Shannon, Jim""","""Treasury""",37
"""Shapps, Grant""","""Department for Culture, Media and Sport""",2
"""Shapps, Grant""","""Department of Health""",2
"""Shapps, Grant""","""Ministry of Defence""",1
"""Sharma, Virendra""","""Cabinet Office""",3
"""Sharma, Virendra""","""Church Commissioners""",2
"""Sharma, Virendra""","""Communities and Local Government""",3
"""Sharma, Virendra""","""Department for Business, Innovation and Skills""",6
"""Sharma, Virendra""","""Department for Culture, Media and Sport""",2
"""Sharma, Virendra""","""Department for Education""",2
"""Sharma, Virendra""","""Department for Environment, Food and Rural Affairs""",4
"""Sharma, Virendra""","""Department for International Development""",6
"""Sharma, Virendra""","""Department for Transport""",4
"""Sharma, Virendra""","""Department for Work and Pensions""",4
"""Sharma, Virendra""","""Department of Energy and Climate Change""",3
"""Sharma, Virendra""","""Department of Health""",39
"""Sharma, Virendra""","""Foreign and Commonwealth Office""",4
"""Sharma, Virendra""","""Home Office""",5
"""Sharma, Virendra""","""Leader of the House of Commons""",2
"""Sharma, Virendra""","""Minister for Women and Equalities""",1
"""Sharma, Virendra""","""Ministry of Defence""",4
"""Sharma, Virendra""","""Ministry of Justice""",3
"""Sharma, Virendra""","""Northern Ireland Office""",2
"""Sharma, Virendra""","""Prime Minister""",1
"""Sharma, Virendra""","""Scotland Office""",2
"""Sharma, Virendra""","""Treasury""",5
"""Sharma, Virendra""","""Wales Office""",2
"""Sheerman, Barry""","""Cabinet Office""",1
"""Sheerman, Barry""","""Cabinet Office; UK Statistics Authority""",2
"""Sheerman, Barry""","""Communities and Local Government""",9
"""Sheerman, Barry""","""Department for Business, Innovation and Skills""",38
"""Sheerman, Barry""","""Department for Culture, Media and Sport""",10
"""Sheerman, Barry""","""Department for Education""",27
"""Sheerman, Barry""","""Department for Environment, Food and Rural Affairs""",21
"""Sheerman, Barry""","""Department for International Development""",7
"""Sheerman, Barry""","""Department for Transport""",21
"""Sheerman, Barry""","""Department for Work and Pensions""",16
"""Sheerman, Barry""","""Department of Energy and Climate Change""",7
"""Sheerman, Barry""","""Department of Health""",53
"""Sheerman, Barry""","""Foreign and Commonwealth Office""",24
"""Sheerman, Barry""","""Home Office""",30
"""Sheerman, Barry""","""Ministry of Justice""",14
"""Sheerman, Barry""","""Northern Ireland Office""",2
"""Sheerman, Barry""","""Treasury""",6
"""Shelbrooke, Alec""","""Cabinet Office""",1
"""Shelbrooke, Alec""","""Department for International Development""",1
"""Shelbrooke, Alec""","""Department of Energy and Climate Change""",1
"""Shelbrooke, Alec""","""Ministry of Defence""",1
"""Shelbrooke, Alec""","""Northern Ireland Office""",1
"""Sheppard, Tommy""","""Cabinet Office""",3
"""Sheppard, Tommy""","""Communities and Local Government""",1
"""Sheppard, Tommy""","""Department for International Development""",2
"""Sheppard, Tommy""","""Department for Work and Pensions""",9
"""Sheppard, Tommy""","""Home Office""",10
"""Sheppard, Tommy""","""Ministry of Defence""",1
"""Sheppard, Tommy""","""Treasury""",1
"""Sherriff, Paula""","""Cabinet Office""",4
"""Sherriff, Paula""","""Communities and Local Government""",1
"""Sherriff, Paula""","""Department for Business, Innovation and Skills""",2
"""Sherriff, Paula""","""Department for Transport""",29
"""Sherriff, Paula""","""Department for Work and Pensions""",1
"""Sherriff, Paula""","""Department of Energy and Climate Change""",2
"""Sherriff, Paula""","""Department of Health""",19
"""Sherriff, Paula""","""Home Office""",5
"""Sherriff, Paula""","""Treasury""",9
"""Shuker, Gavin""","""Attorney General""",1
"""Shuker, Gavin""","""Cabinet Office""",1
"""Shuker, Gavin""","""Communities and Local Government""",1
"""Shuker, Gavin""","""Department for Business, Innovation and Skills""",3
"""Shuker, Gavin""","""Department for Education""",3
"""Shuker, Gavin""","""Department for International Development""",9
"""Shuker, Gavin""","""Department for Transport""",6
"""Shuker, Gavin""","""Foreign and Commonwealth Office""",4
"""Shuker, Gavin""","""Home Office""",5
"""Shuker, Gavin""","""Ministry of Justice""",2
"""Shuker, Gavin""","""Northern Ireland Office""",1
"""Shuker, Gavin""","""Treasury""",2
"""Siddiq, Tulip""","""Attorney General""",1
"""Siddiq, Tulip""","""Cabinet Office""",2
"""Siddiq, Tulip""","""Communities and Local Government""",21
"""Siddiq, Tulip""","""Department for Business, Innovation and Skills""",36
"""Siddiq, Tulip""","""Department for Culture, Media and Sport""",3
"""Siddiq, Tulip""","""Department for Education""",14
"""Siddiq, Tulip""","""Department for Environment, Food and Rural Affairs""",4
"""Siddiq, Tulip""","""Department for International Development""",9
"""Siddiq, Tulip""","""Department for Transport""",10
"""Siddiq, Tulip""","""Department for Work and Pensions""",10
"""Siddiq, Tulip""","""Department of Energy and Climate Change""",2
"""Siddiq, Tulip""","""Department of Health""",56
"""Siddiq, Tulip""","""Foreign and Commonwealth Office""",7
"""Siddiq, Tulip""","""Home Office""",52
"""Siddiq, Tulip""","""House of Commons Commission""",1
"""Siddiq, Tulip""","""Minister for Women and Equalities""",1
"""Siddiq, Tulip""","""Ministry of Defence""",6
"""Siddiq, Tulip""","""Ministry of Justice""",31
"""Siddiq, Tulip""","""Speaker's Committee on the Electoral Commission""",1
"""Siddiq, Tulip""","""Treasury""",15
"""Simpson, David""","""Cabinet Office; UK Statistics Authority""",1
"""Simpson, David""","""Communities and Local Government""",2
"""Simpson, David""","""Department for Business, Innovation and Skills""",1
"""Simpson, David""","""Department for Culture, Media and Sport""",8
"""Simpson, David""","""Department for Education""",14
"""Simpson, David""","""Department for Environment, Food and Rural Affairs""",9
"""Simpson, David""","""Department for Transport""",7
"""Simpson, David""","""Department of Energy and Climate Change""",1
"""Simpson, David""","""Department of Health""",21
"""Simpson, David""","""Foreign and Commonwealth Office""",7
"""Simpson, David""","""Home Office""",9
"""Simpson, David""","""Ministry of Defence""",2
"""Simpson, David""","""Ministry of Justice""",6
"""Simpson, David""","""Northern Ireland Office""",2
"""Simpson, David""","""Prime Minister""",1
"""Simpson, David""","""Treasury""",2
"""Slaughter, Andy""","""Attorney General""",3
"""Slaughter, Andy""","""Cabinet Office""",7
"""Slaughter, Andy""","""Communities and Local Government""",3
"""Slaughter, Andy""","""Department for Business, Innovation and Skills""",5
"""Slaughter, Andy""","""Department for Culture, Media and Sport""",1
"""Slaughter, Andy""","""Department for Education""",2
"""Slaughter, Andy""","""Department for Environment, Food and Rural Affairs""",6
"""Slaughter, Andy""","""Department for International Development""",3
"""Slaughter, Andy""","""Department for Transport""",8
"""Slaughter, Andy""","""Department for Work and Pensions""",6
"""Slaughter, Andy""","""Department of Health""",8
"""Slaughter, Andy""","""Foreign and Commonwealth Office""",46
"""Slaughter, Andy""","""Home Office""",22
"""Slaughter, Andy""","""Ministry of Defence""",2
"""Slaughter, Andy""","""Ministry of Justice""",351
"""Slaughter, Andy""","""Treasury""",18
"""Smeeth, Ruth""","""Department for Business, Innovation and Skills""",8
"""Smeeth, Ruth""","""Department for Culture, Media and Sport""",3
"""Smeeth, Ruth""","""Department for Education""",3
"""Smeeth, Ruth""","""Department for Transport""",11
"""Smeeth, Ruth""","""Department of Health""",3
"""Smeeth, Ruth""","""Home Office""",16
"""Smeeth, Ruth""","""Northern Ireland Office""",4
"""Smeeth, Ruth""","""Treasury""",2
"""Smith, Andrew""","""Communities and Local Government""",3
"""Smith, Andrew""","""Department for Business, Innovation and Skills""",6
"""Smith, Andrew""","""Department for Education""",4
"""Smith, Andrew""","""Department for Environment, Food and Rural Affairs""",1
"""Smith, Andrew""","""Department for International Development""",18
"""Smith, Andrew""","""Department for Work and Pensions""",1
"""Smith, Andrew""","""Department of Energy and Climate Change""",3
"""Smith, Andrew""","""Department of Health""",24
"""Smith, Andrew""","""Foreign and Commonwealth Office""",25
"""Smith, Andrew""","""Home Office""",9
"""Smith, Andrew""","""Ministry of Defence""",12
"""Smith, Andrew""","""Ministry of Justice""",2
"""Smith, Angela C""","""Communities and Local Government""",2
"""Smith, Angela C""","""Department for Business, Innovation and Skills""",1
"""Smith, Angela C""","""Department for Culture, Media and Sport""",1
"""Smith, Angela C""","""Department for Education""",1
"""Smith, Angela C""","""Department for Environment, Food and Rural Affairs""",64
"""Smith, Angela C""","""Foreign and Commonwealth Office""",1
"""Smith, Angela C""","""Home Office""",6
"""Smith, Angela C""","""Ministry of Defence""",1
"""Smith, Cat""","""Cabinet Office""",1
"""Smith, Cat""","""Cabinet Office; UK Statistics Authority""",1
"""Smith, Cat""","""Communities and Local Government""",4
"""Smith, Cat""","""Department for Business, Innovation and Skills""",10
"""Smith, Cat""","""Department for Education""",5
"""Smith, Cat""","""Department for Environment, Food and Rural Affairs""",5
"""Smith, Cat""","""Department for International Development""",3
"""Smith, Cat""","""Department for Transport""",13
"""Smith, Cat""","""Department for Work and Pensions""",9
"""Smith, Cat""","""Department of Energy and Climate Change""",1
"""Smith, Cat""","""Department of Health""",18
"""Smith, Cat""","""Foreign and Commonwealth Office""",1
"""Smith, Cat""","""Home Office""",3
"""Smith, Cat""","""Ministry of Defence""",2
"""Smith, Cat""","""Ministry of Justice""",12
"""Smith, Cat""","""Northern Ireland Office""",2
"""Smith, Cat""","""Prime Minister""",1
"""Smith, Cat""","""Treasury""",4
"""Smith, Chloe""","""Department of Health""",1
"""Smith, Chloe""","""Foreign and Commonwealth Office""",2
"""Smith, Chloe""","""Home Office""",1
"""Smith, Henry""","""Attorney General""",4
"""Smith, Henry""","""Church Commissioners""",1
"""Smith, Henry""","""Department for Business, Innovation and Skills""",1
"""Smith, Henry""","""Department for Education""",4
"""Smith, Henry""","""Department for Environment, Food and Rural Affairs""",8
"""Smith, Henry""","""Department for Transport""",4
"""Smith, Henry""","""Department for Work and Pensions""",3
"""Smith, Henry""","""Department of Energy and Climate Change""",1
"""Smith, Henry""","""Department of Health""",13
"""Smith, Henry""","""Foreign and Commonwealth Office""",4
"""Smith, Henry""","""Home Office""",2
"""Smith, Henry""","""Minister for Women and Equalities""",3
"""Smith, Henry""","""Treasury""",2
"""Smith, Jeff""","""Communities and Local Government""",2
"""Smith, Jeff""","""Department for Business, Innovation and Skills""",5
"""Smith, Jeff""","""Department for Education""",6
"""Smith, Jeff""","""Department for International Development""",1
"""Smith, Jeff""","""Home Office""",1
"""Smith, Nick""","""Department for Culture, Media and Sport""",1
"""Smith, Nick""","""Department for Education""",4
"""Smith, Nick""","""Department for Environment, Food and Rural Affairs""",7
"""Smith, Nick""","""Department of Health""",4
"""Smith, Nick""","""Treasury""",1
"""Smith, Owen""","""Cabinet Office; UK Statistics Authority""",1
"""Smith, Owen""","""Communities and Local Government""",2
"""Smith, Owen""","""Department for Business, Innovation and Skills""",5
"""Smith, Owen""","""Department for Education""",1
"""Smith, Owen""","""Department for Transport""",1
"""Smith, Owen""","""Department for Work and Pensions""",69
"""Smith, Owen""","""Department of Health""",1
"""Smith, Owen""","""Home Office""",2
"""Smith, Owen""","""Treasury""",31
"""Smith, Royston""","""Cabinet Office""",5
"""Smith, Royston""","""Cabinet Office; UK Statistics Authority""",3
"""Smith, Royston""","""Communities and Local Government""",6
"""Smith, Royston""","""Department for Business, Innovation and Skills""",9
"""Smith, Royston""","""Department for Culture, Media and Sport""",8
"""Smith, Royston""","""Department for Education""",11
"""Smith, Royston""","""Department for Environment, Food and Rural Affairs""",2
"""Smith, Royston""","""Department for Transport""",5
"""Smith, Royston""","""Department for Work and Pensions""",4
"""Smith, Royston""","""Department of Energy and Climate Change""",3
"""Smith, Royston""","""Department of Health""",11
"""Smith, Royston""","""Home Office""",1
"""Smith, Royston""","""House of Commons Commission""",3
"""Smith, Royston""","""Speaker's Committee for the Independent Parliamentary Standards Authority""",1
"""Smith, Royston""","""Treasury""",3
"""Smyth, Karin""","""Cabinet Office; UK Statistics Authority""",3
"""Smyth, Karin""","""Communities and Local Government""",6
"""Smyth, Karin""","""Department for Business, Innovation and Skills""",2
"""Smyth, Karin""","""Department for Education""",2
"""Smyth, Karin""","""Department for International Development""",1
"""Smyth, Karin""","""Department for Work and Pensions""",9
"""Smyth, Karin""","""Department of Energy and Climate Change""",2
"""Smyth, Karin""","""Department of Health""",18
"""Smyth, Karin""","""Foreign and Commonwealth Office""",3
"""Smyth, Karin""","""Home Office""",7
"""Smyth, Karin""","""Prime Minister""",1
"""Soames, Nicholas""","""Cabinet Office""",2
"""Soames, Nicholas""","""Cabinet Office; UK Statistics Authority""",3
"""Soames, Nicholas""","""Communities and Local Government""",16
"""Soames, Nicholas""","""Department for Business, Innovation and Skills""",27
"""Soames, Nicholas""","""Department for Culture, Media and Sport""",13
"""Soames, Nicholas""","""Department for Education""",31
"""Soames, Nicholas""","""Department for Environment, Food and Rural Affairs""",33
"""Soames, Nicholas""","""Department for International Development""",1
"""Soames, Nicholas""","""Department for Transport""",24
"""Soames, Nicholas""","""Department for Work and Pensions""",5
"""Soames, Nicholas""","""Department of Energy and Climate Change""",2
"""Soames, Nicholas""","""Department of Health""",56
"""Soames, Nicholas""","""Foreign and Commonwealth Office""",15
"""Soames, Nicholas""","""Home Office""",14
"""Soames, Nicholas""","""Ministry of Defence""",113
"""Soames, Nicholas""","""Ministry of Justice""",1
"""Soames, Nicholas""","""Treasury""",22
"""Solloway, Amanda""","""Communities and Local Government""",1
"""Solloway, Amanda""","""Department for Transport""",1
"""Solloway, Amanda""","""Department of Health""",1
"""Solloway, Amanda""","""Minister for Women and Equalities""",1
"""Solloway, Amanda""","""Ministry of Defence""",1
"""Spellar, John""","""Cabinet Office""",1
"""Spellar, John""","""Communities and Local Government""",2
"""Spellar, John""","""Department for Education""",1
"""Spellar, John""","""Department for Environment, Food and Rural Affairs""",2
"""Spellar, John""","""Department for International Development""",1
"""Spellar, John""","""Department for Transport""",5
"""Spellar, John""","""Department of Energy and Climate Change""",1
"""Spellar, John""","""Department of Health""",3
"""Spellar, John""","""Foreign and Commonwealth Office""",1
"""Spellar, John""","""Home Office""",3
"""Spellar, John""","""Ministry of Defence""",8
"""Spellar, John""","""Ministry of Justice""",2
"""Spelman, Caroline""","""Department for Education""",2
"""Spelman, Caroline""","""Department for Environment, Food and Rural Affairs""",1
"""Spelman, Caroline""","""Department for International Development""",1
"""Spelman, Caroline""","""Department of Energy and Climate Change""",1
"""Spelman, Caroline""","""Department of Health""",1
"""Spelman, Caroline""","""Foreign and Commonwealth Office""",4
"""Spelman, Caroline""","""Home Office""",1
"""Spelman, Caroline""","""Treasury""",1
"""Spencer, Mark""","""Attorney General""",1
"""Spencer, Mark""","""Cabinet Office""",1
"""Spencer, Mark""","""Treasury""",4
"""Starmer, Keir""","""Communities and Local Government""",1
"""Starmer, Keir""","""Department for Education""",3
"""Starmer, Keir""","""Department for International Development""",1
"""Starmer, Keir""","""Department for Transport""",17
"""Starmer, Keir""","""Department for Work and Pensions""",2
"""Starmer, Keir""","""Foreign and Commonwealth Office""",1
"""Starmer, Keir""","""Home Office""",4
"""Starmer, Keir""","""Ministry of Justice""",9
"""Starmer, Keir""","""Treasury""",2
"""Stephens, Chris""","""Cabinet Office""",9
"""Stephens, Chris""","""Cabinet Office; UK Statistics Authority""",1
"""Stephens, Chris""","""Communities and Local Government""",2
"""Stephens, Chris""","""Department for Business, Innovation and Skills""",6
"""Stephens, Chris""","""Department for Culture, Media and Sport""",2
"""Stephens, Chris""","""Department for Education""",2
"""Stephens, Chris""","""Department for Environment, Food and Rural Affairs""",2
"""Stephens, Chris""","""Department for International Development""",2
"""Stephens, Chris""","""Department for Transport""",3
"""Stephens, Chris""","""Department for Work and Pensions""",17
"""Stephens, Chris""","""Department of Energy and Climate Change""",1
"""Stephens, Chris""","""Department of Health""",6
"""Stephens, Chris""","""Foreign and Commonwealth Office""",2
"""Stephens, Chris""","""Home Office""",14
"""Stephens, Chris""","""Minister for Women and Equalities""",1
"""Stephens, Chris""","""Ministry of Defence""",6
"""Stephens, Chris""","""Ministry of Justice""",1
"""Stephens, Chris""","""Northern Ireland Office""",1
"""Stephens, Chris""","""Scotland Office""",3
"""Stephens, Chris""","""Treasury""",18
"""Stephens, Chris""","""Wales Office""",1
"""Stephenson, Andrew""","""Cabinet Office; UK Statistics Authority""",2
"""Stephenson, Andrew""","""Communities and Local Government""",4
"""Stephenson, Andrew""","""Department for Business, Innovation and Skills""",7
"""Stephenson, Andrew""","""Department for Culture, Media and Sport""",1
"""Stephenson, Andrew""","""Department for Education""",11
"""Stephenson, Andrew""","""Department for Environment, Food and Rural Affairs""",6
"""Stephenson, Andrew""","""Department for International Development""",6
"""Stephenson, Andrew""","""Department for Transport""",4
"""Stephenson, Andrew""","""Department for Work and Pensions""",3
"""Stephenson, Andrew""","""Department of Health""",15
"""Stephenson, Andrew""","""Foreign and Commonwealth Office""",7
"""Stephenson, Andrew""","""Home Office""",1
"""Stephenson, Andrew""","""House of Commons Commission""",1
"""Stephenson, Andrew""","""Ministry of Defence""",6
"""Stephenson, Andrew""","""Ministry of Justice""",22
"""Stephenson, Andrew""","""Treasury""",5
"""Stevens, Jo""","""Attorney General""",1
"""Stevens, Jo""","""Department for Business, Innovation and Skills""",13
"""Stevens, Jo""","""Department for Culture, Media and Sport""",1
"""Stevens, Jo""","""Department for Education""",1
"""Stevens, Jo""","""Department for Transport""",7
"""Stevens, Jo""","""Department for Work and Pensions""",1
"""Stevens, Jo""","""Department of Energy and Climate Change""",1
"""Stevens, Jo""","""Foreign and Commonwealth Office""",4
"""Stevens, Jo""","""Ministry of Justice""",39
"""Stevens, Jo""","""Scotland Office""",1
"""Stevens, Jo""","""Treasury""",4
"""Stevenson, John""","""Attorney General""",1
"""Stevenson, John""","""Cabinet Office; UK Statistics Authority""",1
"""Stevenson, John""","""Communities and Local Government""",1
"""Stevenson, John""","""Department for Business, Innovation and Skills""",1
"""Stevenson, John""","""Department for Education""",3
"""Stevenson, John""","""Department for Environment, Food and Rural Affairs""",1
"""Stevenson, John""","""Department for Transport""",3
"""Stevenson, John""","""Department of Energy and Climate Change""",2
"""Stevenson, John""","""Department of Health""",4
"""Stevenson, John""","""Home Office""",2
"""Stevenson, John""","""Scotland Office""",3
"""Stevenson, John""","""Treasury""",2
"""Stewart, Bob""","""Cabinet Office; UK Statistics Authority""",1
"""Stewart, Bob""","""Communities and Local Government""",1
"""Stewart, Bob""","""Department for Education""",2
"""Stewart, Bob""","""Department for Environment, Food and Rural Affairs""",2
"""Stewart, Bob""","""Department of Health""",1
"""Stewart, Bob""","""Foreign and Commonwealth Office""",1
"""Stewart, Bob""","""Treasury""",2
"""Stewart, Iain""","""Communities and Local Government""",1
"""Stewart, Iain""","""Department for Business, Innovation and Skills""",5
"""Stewart, Iain""","""Department for Transport""",4
"""Stewart, Iain""","""Department of Health""",2
"""Stewart, Iain""","""Treasury""",1
